Old ID,title,New ID,label
1,Musisi Legendaris Nomo Koeswoyo Meninggal Dunia,81,testing
2,Jokowi Tinjau Pasar Tanah Abang,1,training
3,Pembacokan Bocah SD di Sukabumi,2,training
4,Anggota TNI Acungkan Sangkur ke Pengendara Sienta,3,training
5,Mantan Wakil Ketua DPRD DKI Jakarta M Taufik Meninggal Dunia,4,training
6,Kasus Balita di Sleman yang Diduga Terkena Peluru,5,training
7,Perkenalkan QLola by BRI,82,testing
8,KPK Tetapkan Bupati Mamberamo Tengah Tersangka TPPU,83,testing
9,Presiden Jokowi Jenguk Try Sutrisno di RSPAD,6,training
10,Dosen Universitas Jambi yang Aniaya Mahasiswa Disabilitas,7,training
11,KM Nurul Hidayat Tenggelam,8,training
12,Dinda Hauw dan Rey Mbayang Dikaruniai Anak Kedua,84,testing
13,Dandim Yahukimo Jadi Korban Penembakan KKB,9,training
14,Dua Jasad Wanita Dicor di Bekasi,10,training
15,Kantor Persiapan KPU Papua Barat Daya Diresmikan,11,training
16,Nani Wijaya Meninggal Dunia,12,training
17,Gibran Bakal Hadirkan Band Deep Purple,13,training
18,Isu RUU Kesehatan Menghilangkan Perlindungan untuk Nakes,85,testing
19,Ular Sanca Teror Warga di Jakarta Selatan,14,training
20,Trans Studio Makassar Kebakaran,86,testing
21,Tottenham Pecat Cristian Stellini,87,testing
22,Pekan Gembira Ria,15,training
23,Kebakaran Muara Angke,16,training
24,Messi dkk Nyaris Tercekik Kabel Listrik Saat Pamer Trofi Piala,17,training
25,Profil Bendungan Semantok yang Diresmikan Jokowi,18,training
26,Kemenkop UKM Dorong Disabilitas Berwirausaha,19,training
27,Alasan JD.ID Lakukan PHK 200 Karyawan,20,training
28,Tim E-Sport Indonesia Raih Juara Umum IESF,21,training
29,Partai Ummat Tak Memenuhi Syarat Verifikasi,22,training
30,Kasus Suap Rektor Unila,23,training
31,Jokowi Resmikan Bendungan Sadawarna,24,training
32,Aspem DKI Ungkap Jumlah PJLP yang Akan di PHK,25,training
33,KPK Periksa Wakil Bupati Pamekasan,26,training
34,Polres Bogor Tangkap Bandar Narkoba,27,training
35,PBNU Gelar Muktamar Internasional Fikih Peradaban,28,training
36,Disney Mulai Lakukan PHK,29,training
37,Menkes Disomasi Forum Dokter,30,training
38,Koper putri sulung mantan Presiden Abdurrahman Wahid Diacak-acak Petugas,31,training
39,Kebakaran di Pusat Imigrasi Meksiko,32,training
40,Gunung Ile Lewotolok Kembali Meletus,33,training
41,Komisi Yudisial Kutuk Pembacokan Mantan Ketua KY,34,training
42,Junta Myanmar Bubarkan Partai NLD Aung San Suu Kyi,35,training
43,Ibunda Piyu Padi Reborn Meninggal Dunia,88,testing
44,Polda Metro Larang Masyarakat Konvoi saat Malam Takbiran,36,training
45,Karyawan China Menang Undian Unik Perusahaan,89,testing
46,11 Orang Tewas di India Karena Panas Menyengat,37,training
47,Ibunda Julia Perez Ditabrak Motor,38,training
48,Kritikus Kremlin Kara-Murza Divonis Penjara 25 Tahun,90,testing
49,Pesawat Boeing TNI AU Tergelincir di Timika,39,training
50,Jenazah Pratu Miftahul Arifin Belum Dievakuasi,40,training
51,Jokowi dan Kanselir Jerman Akan Buka Hannover Messe,41,training
52,TNI Angkatan Laut Buka Program Mudik Gratis Pakai Kapal Perang,42,training
53,Korban Tewas dalam Serangan Junta Myanmar,43,training
54,Kylie Jenner dan Timothee Chalamet Dikabarkan Pacaran,44,training
55,Jokowi dan Prabowo jadi Saksi di Pernikahan Kevin Sanjaya-Valencia Tanoesoedibjo,91,testing
56,Ribuan Minuman Keras dan Obat Terlarang Dimusnahkan Polres Metro Tangerang Kota,45,training
57,PDIP Gelar Pelatihan Dakwah Digital,92,testing
58,Komnas HAM Akan Surati Jokowi Minta Amnesti untuk Budi Pego,46,training
59,Staf Dinsos Tangsel Ditangkap Karena Tawarkan Proyek Fiktif,93,testing
60,Sopir Taksi Online Tewas Tertabrak Usai Dirampok di Tol Jagorawi,47,training
61,Mahasiswa UNS yang Jatuh di Luweng Braholo,48,training
62,Kebakaran Kapal MT Kristin di Mataram,49,training
63,Penganiayaan Pasutri di Beji Depok,50,training
64,Jokowi Resmikan Hunian untuk Milenial di Depok,94,testing
65,Kick Off Food Estate di Papua,95,testing
66,Ferry Irawan Jalani Sidang Perdana Kasus KDRT Venna Melinda,51,training
67,Hakim Guntur Hamzah Disanksi,52,training
68,Uji Coba MLFF di Tol Bali Mandara,53,training
69,Muncul QRIS Palsu di Kotak Amal Masjid,54,training
70,Parlemen Thailand Dibubarkan Raja,55,training
71,Nenek dan Kakek Jalan Kaki Menyusuri Tol Demi Temui Cucu,56,training
72,Jokowi Resmikan Youth Creative Hub Tiba di Papua,57,training
73,Mendag Zulkifli Hasan Resmikan 5 Pasar di Mojokerto,58,training
74,Pesawat Susi Air Dibakar di Nduga,59,training
75,KPK Jebloskan Hakim Itong ke Lapas Surabaya,60,training
76,Kebakaran Warung Ayam Geprek di Tebet,61,training
77,Natalia Rusli Didakwa Pasal Penipuan dan Penggelapan,62,training
78,Jokowi Resmikan Masjid Sheikh Zayed Solo,63,training
79,Jokowi Hampir Konsumsi Makanan Berformalin di Labuan Bajo,96,testing
80,Bisnis Iklan YouTube Terus Menurun,64,training
81,Rapsel Ali Menantu Wapres Meninggal Dunia,65,training
82,ChatGPT Diblokir Italia,97,testing
83,Dampak Gempa Bukittinggi,66,training
84,Kantor Sementara Bupati Dogiyai Hangus Terbakar,98,testing
85,Kota Terpencil di Jepang Jual Daging Beruang,67,training
86,Kebakaran RS Salak Bogor,68,training
87,Ular Kobra Muncul di Kursi Pilot,69,training
88,TNI Kirim Tim untuk Evakuasi WNI di Sudan,70,training
89,Finlandia Resmi Jadi Anggota NATO,71,training
90,Kilang Minyak Pertamina Dumai Meledak,72,training
91,Komposer Ryuichi Sakamoto Meninggal Dunia,73,training
