"No.","Topik","title","Sumber Berita","content","ringkasan"
"1","Musisi Legendaris Nomo Koeswoyo Meninggal Dunia","Musisi Legendaris Nomo Koeswoyo Meninggal Dunia","kompas","Musisi senior Koesnomo Koeswoyo atau akrab disapa Nomo Koeswoyo meninggal dunia. Nomo yang lahir pada 21 Januari 1938 mengembuskan napas terakhirnya dalam usia 85 tahun. Kabar duka itu disampaikan oleh pihak keluarga melalui akun Instagram keponakannya @official.sarikoeswoyo. ""Telah berpulang ke Rahmatullah ayahanda kami/kakak, pakde, paklek, akung kami, Koesnomo Koeswoyo bin Koeswoyo pada Rabu, 15 Maret 2023, pukul 19.30 WIB di Magelang. Rencananya, jenazah akan disemayamkan di rumah duka yang berada di Jakarta Selatan. Pihak keluarga juga sudah memastikan proses pemakaman akan dilangsungkan di TPU Jeruk Purut, Jakarta Selatan. Mohon maaf atas segala kesalahan dan kekhilafan almarhum. Semoga almarhum Khusnul khatimah dan mendapat tempat terbaik di sisi Allah SWT, tulis akun tersebut. Nomo Koeswoyo meninggal dunia pada usianya yang menyentuh angka 85 tahun. Sebelum meninggal, Nomo diketahui sempat sakit. Namun, belum diketahui pasti kronologi meninggalnya Nomo.","Musisi senior Koesnomo Koeswoyo atau akrab disapa Nomo Koeswoyo meninggal dunia. Musisi legendaris tanah air itu menghembuskan nafas terakhir di Magelang, Jawa Tengah Pukul 19.30 WIB pada Rabu (15/3/2023). Fakta Meninggalnya Nomo Koeswoyo Sempat Anfal dan Gula Darah Tinggi Sebelum Meninggal Nomo Koeswoyo disebut sempat mengalami anfal dan memiliki riwayat gula darah tinggi sebelum meninggal dunia. Nomo yang lahir pada 21 Januari 1938 mengembuskan napas terakhirnya dalam usia 85 tahun. Kepergian salah satu personel Koes Bersaudara itu menjadikan grup band legendaris Indonesia tersebut kini hanya tinggal memiliki satu personel, yakni Yok Koeswoyo. Ia adalah musikus Indonesia Grup Koes Bersaudara yang beranggotakan kakak beradik keluarga Koeswoyo. Rencananya, jenazah akan disemayamkan di rumah duka yang berada di Jakarta Selatan. Pihak keluarga juga sudah memastikan proses pemakaman akan dilangsungkan di TPU Jeruk Purut, Jakarta Selatan."
"2","Musisi Legendaris Nomo Koeswoyo Meninggal Dunia","Duka Mendalam, Musisi Legendaris Nomo Koeswoyo Meninggal Dunia","merdeka","Kabar duka datang dari dunia musik Indonesia: salah satu personel grup Koes Bersaudara, Nomo Koeswoyo meninggal dunia pada Rabu malam (15/3/2023) sekira pukul 20.30 WIB. Nomo Koeswoyo meninggal dunia di kediamannya di Magelang, Jawa Tengah. Penabuh drum Koes Bersaudara itu wafat pada usia 85 tahun. Kabar duka ini dikonfirmasi oleh pengamat musik dan produser musik Adib Hidayat di Twitter. ""Selamat jalan Nomo Koeswoyo (Koes Bersaudara) 21 Januari 1938 – 15 Maret 2023,"" tulis Adib. Koes Bersaudara termasuk band legendaris di Indonesia. Selain Nomo, grup band ini diawaki oleh Yon Koeswoyo, Yok Koeswoyo, Tonny Koeswoyo. Keempatnya masih memiliki hubungan persaudaraan.Empat awak Koes Bersaudara ini pernah masuk bui pada 1965 atas perintah Presiden Soekarno. Mereka mendekam dalam penjara Glodok selama 29 Juni hingga 30 September 1965. Mereka dinilai melanggar larangan Soekarno soal imperialisme, kolonialisme dan kapitalisme, termasuk dalam bentuk membawakan musik dari band Barat seperti The Beatles. Jenazah Nomo Koeswoyo dikabarkan sedang dibawa ke Jakarta dan akan disemayamkan di kediaman Chicha Koeswoyo di Lebak Bulus, Jakarta Selatan. Rencananya mendiang Nomo Koeswoyo akan dimakamkan di TPU Jeruk Purut, Jakarta Selatan.","Musisi senior Koesnomo Koeswoyo atau akrab disapa Nomo Koeswoyo meninggal dunia. Musisi legendaris tanah air itu menghembuskan nafas terakhir di Magelang, Jawa Tengah Pukul 19.30 WIB pada Rabu (15/3/2023). Fakta Meninggalnya Nomo Koeswoyo Sempat Anfal dan Gula Darah Tinggi Sebelum Meninggal Nomo Koeswoyo disebut sempat mengalami anfal dan memiliki riwayat gula darah tinggi sebelum meninggal dunia. Nomo yang lahir pada 21 Januari 1938 mengembuskan napas terakhirnya dalam usia 85 tahun. Kepergian salah satu personel Koes Bersaudara itu menjadikan grup band legendaris Indonesia tersebut kini hanya tinggal memiliki satu personel, yakni Yok Koeswoyo. Ia adalah musikus Indonesia Grup Koes Bersaudara yang beranggotakan kakak beradik keluarga Koeswoyo. Rencananya, jenazah akan disemayamkan di rumah duka yang berada di Jakarta Selatan. Pihak keluarga juga sudah memastikan proses pemakaman akan dilangsungkan di TPU Jeruk Purut, Jakarta Selatan."
"3","Musisi Legendaris Nomo Koeswoyo Meninggal Dunia","Nomo Koeswoyo Meninggal Dunia, Yok Satu-Satunya yang Tersisa di Koes Bersaudara","sindonews","Nomo Koeswoyo telah meninggal dunia pada Rabu (15/3/2023) malam, sekitar pukul 19.30 WIB. Kepergian salah satu personel Koes Bersaudara itu menjadikan grup band legendaris Indonesia tersebut kini hanya tinggal memiliki satu personel, yakni Yok Koeswoyo. Koes Bersaudara (Koes Brothers) pertama kali dibentuk pada 17 Februari 1958 di Jakarta. Grup ini terdiri dari lima bersaudara yaitu Koesdjono (John), Koestono (Tonny), Koesnomo (Nomo), Koesyono (Yon), dan Koesroyo (Yok). Namun, John memutuskan hengkang setelah album pertama dirilis pada 1964. Koes Bersaudara berubah nama menjadi Koes Plus pada 1969 setelah Nomo hengkang dan kedatangan Murry serta Totok AR, yang bukan anggota keluarga Koeswoyo. Mereka menggantikan posisi Nomo dan Yok untuk mengisi drum serta gitar bas. Yok Koeswoyo kemudian kembali masuk ke dalam grup, dan akhirnya terbentuk formasi yang bisa dikatakan menjadi andalan yaitu Tonny Koeswoyo pada kibor dan gitar melodi, Yon pada gitar pengiring, Yok pada gitar bas, dan Murry pada drum. Koes Plus menjadi band Indonesia paling populer di tahun 1970-an.Di akhir era 80-an, salah satu punggawa Koes Plus, yakni Tonny Koeswoyo, meninggal dunia. Tonny meninggal dunia pada 27 Maret 1987 saat usianya 51 tahun. Lalu pada 1 Februari 2014, Murry meninggal dunia di usia 64 tahun. Setelah itu, Yon Koeswoyo pun menyusul Murry dan Tonny. Yon meninggal dunia di usia 77 tahun pada 5 Januari 2018.Sampai akhirnya hanya Yok Koeswoyo, satu-satunya anggota Koes Plus yang masih hidup, ditemani dua kakaknya yakni John dan Nomo Koeswoyo, yang sempat tergabung dalam Koes Bersaudara. Namun, pada 2 Desember 2022, bassist pertama Koes Bersaudara, yakni John Koeswoyo atau Koesdjono (Djon), meninggal dunia. Djon mengembuskan napas terakhir di usia 90 tahun di RS AL Surabaya dan yang teranyar, Nomo Koeswoyo, juga wafat pada 15 Maret 2023 di Magelang, Jawa Tengah.","Musisi senior Koesnomo Koeswoyo atau akrab disapa Nomo Koeswoyo meninggal dunia. Musisi legendaris tanah air itu menghembuskan nafas terakhir di Magelang, Jawa Tengah Pukul 19.30 WIB pada Rabu (15/3/2023). Fakta Meninggalnya Nomo Koeswoyo Sempat Anfal dan Gula Darah Tinggi Sebelum Meninggal Nomo Koeswoyo disebut sempat mengalami anfal dan memiliki riwayat gula darah tinggi sebelum meninggal dunia. Nomo yang lahir pada 21 Januari 1938 mengembuskan napas terakhirnya dalam usia 85 tahun. Kepergian salah satu personel Koes Bersaudara itu menjadikan grup band legendaris Indonesia tersebut kini hanya tinggal memiliki satu personel, yakni Yok Koeswoyo. Ia adalah musikus Indonesia Grup Koes Bersaudara yang beranggotakan kakak beradik keluarga Koeswoyo. Rencananya, jenazah akan disemayamkan di rumah duka yang berada di Jakarta Selatan. Pihak keluarga juga sudah memastikan proses pemakaman akan dilangsungkan di TPU Jeruk Purut, Jakarta Selatan."
"4","Musisi Legendaris Nomo Koeswoyo Meninggal Dunia","Biodata Nomo Koeswoyo, Musisi Legendaris Meninggal Dunia, Begini Perjalanan Hidupnya","tribunnews","Koesnomo Koeswoyo alias Nomo Koeswoyo meninggal dunia. Musisi legendaris tanah air itu menghembuskan nafas terakhir di Magelang, Jawa Tengah Pukul 19.30 WIB pada Rabu (15/3/2023). ""Telah berpulang ke rahmatullah Ayahanda kami, Akung kami, Koesnomo Koeswoyo Bin Koeswoyo pada Rabu, 15 Maret 2023, pukul 19.30 WIB di Magelang"", tulis pesan WhatsApp keluarga Nomo Koeswoyo, Rabu (15/3/2023). Drumer grup musik Koes Bersaudara menghembuskan napas terakhirnya di usia 85 tahun. Nomo Koeswoyo lahir pada 21 Januari 1938 di Tuban, Jawa Timur. Ia adalah musikus Indonesia Grup Koes Bersaudara yang beranggotakan kakak beradik keluarga Koeswoyo. Fakta Meninggalnya Nomo Koeswoyo Sempat Anfal dan Gula Darah Tinggi Sebelum Meninggal Nomo Koeswoyo disebut sempat mengalami anfal dan memiliki riwayat gula darah tinggi sebelum meninggal dunia. Hal itu disampaikan oleh sahabat dari putri Nomo Koeswoyo, Chicha Koeswoyo yaitu Jeffry Waworuntu. ""Om Nomo itu Chica gak pernah cerita, cuma cerita masalah suka anfal"". ""Gulanya kadang kadang tinggi, seperti hal itu"", kata Jeffry Waworuntu saat ditemui di rumah duka, Lebak Bulus, Jakarta Selatan, Kamis (16/3/2023). Lebih lanjut, kejadian anfal tersebut terakhir dialami Nomo Koeswoyo pada Selasa (14/3/2023) sebelum akhirnya meninggal dunia pada Rabu (15/3/2023). ""Kabar terkahir waktu hari Rabu, hari Selasa itu dia bilang papanya anfal."" ""Meeting kita malem itu setengah 7 tuh di-postponed ditunda, enggak bisa meeting"". ""Tiba-tiba berjalannya waktu dengarkan kabar beliau sudah wafat"", ujar Jeffry Waworuntu. Jenazah Dibawa dari Magelang ke Lebak Bulus, Jakarta Selatan Jenazah Nomo Koeswoyo dibawa dari Magelang menggunakan perjalanan darat, menggunakan mobil ambulans DPC PPP yang berasal dari Kabupaten Batang, Jawa Tengah. Jenazah Nomo Koeswoyo di rumah duka pukul 09.20 WIB, Kamis (16/3/2023). Diketahui rumah duka Nomo Koeswoyo berada di Kawasan Lebak Bulus, Jakarta Selatan. Ketika jenazah dikeluarkan dari mobil ambulans terlihat keluarga berusaha menahan tangis. Seorang kerabat berusaha menenangkan anak Nomo Koeswoyo, Chicha Koeswoyo. ""Sabar ya yang sabar"", seorang kerabat yang menenangkan Chicha Koeswoyo. Jenazah Nomo Koeswoyo pun dibawa masuk ke dalam rumah duka diiringi lantunan Ayat Suci Alquran. Karangan Bunga dari Megawati dan Jokowi Dikutip pada Laman Tribunnews.com, di rumah duka tempat Nomo Koeswoyo disemayamkan, terdapat banyak karangan bunga, di antaranya kiriman Presiden ke-5 dan ke-7 Indonesia, Megawati Soekarno Putri dan Joko Widodo. Terlihat karangan bunga Megawati bernuansa merah dan hitam. “Turut Berduka Cita Atas Meninggalnya Bpk Koesnomo Koeswoyo bin Koeswoyo"", tulis karangan bunga tersebut. Kemudian karangan bunga Jokowi diletakkan di samping Megawati yang bernuansa kuning. Namun karangan bunga Jokowi terlihat lebih besar dari Megawati dengan nuansa kuning. Nomo Koeswoyo akan dimakamkan di TPU Jeruk Purut pada hari ini, Kamis (16/3/2023). ""Dimakamkan di TPU Jeruk Purut"", tulis pesan berantai dari keluarga Koesnomo Koeswoyo yang diterima Tribunnews.com, Rabu (15/3/2033). Keluarga turut meminta doa agar mendiang Nomo Koeswoyo diterima di sisi Tuhan. ""Mohon maaf atas segala kesalahan dan kekhilafan Almarhum"". ""Semoga Almarhum husnul khotimah dan mendapat tempat terbaik di sisi Allah SWT, dan semoga kami keluarga yang ditinggalkan diberikan kekuatan dan ketabahan"", lanjut pesan tersebut.","Musisi senior Koesnomo Koeswoyo atau akrab disapa Nomo Koeswoyo meninggal dunia. Musisi legendaris tanah air itu menghembuskan nafas terakhir di Magelang, Jawa Tengah Pukul 19.30 WIB pada Rabu (15/3/2023). Fakta Meninggalnya Nomo Koeswoyo Sempat Anfal dan Gula Darah Tinggi Sebelum Meninggal Nomo Koeswoyo disebut sempat mengalami anfal dan memiliki riwayat gula darah tinggi sebelum meninggal dunia. Nomo yang lahir pada 21 Januari 1938 mengembuskan napas terakhirnya dalam usia 85 tahun. Kepergian salah satu personel Koes Bersaudara itu menjadikan grup band legendaris Indonesia tersebut kini hanya tinggal memiliki satu personel, yakni Yok Koeswoyo. Ia adalah musikus Indonesia Grup Koes Bersaudara yang beranggotakan kakak beradik keluarga Koeswoyo. Rencananya, jenazah akan disemayamkan di rumah duka yang berada di Jakarta Selatan. Pihak keluarga juga sudah memastikan proses pemakaman akan dilangsungkan di TPU Jeruk Purut, Jakarta Selatan."
"5","Musisi Legendaris Nomo Koeswoyo Meninggal Dunia","Musisi Legendaris Nomo Koeswoyo Meninggal Dunia, Simak Profilnya Berikut","liputan","Salah satu musisi legendaris Indonesia Nomo Koeswoyo yang dikenal sebagai salah satu personel dari band Koes Bersaudara dikabarkan meninggal dunia. Nomo Koeswoyo dikabarkan meninggal, Rabu (15/3/2023) malam, pada usianya yang ke-85 tahun. Kabar duka ini pun turut dibagikan oleh keluarga Nomo Koeswoyo melalui putrinya Chicha Koeswoyo. Saat ini, ayahnya tersebut akan disemayamkan di rumah duka yang berlokasi di Jakarta Selatan. Sari Koeswoyo melalui media sosial Instagram-nya juga turut memberikan informasi kabar duka tersebut. Ia menjelaskan jika almarhum Nomo Koeswoyo meninggal dunia di Magelang. ""Telah berpulang ke rahmatullah Ayahanda kami, Kakak, Pakde, Paklek, Akung kami, Koesnomo Koeswoyo Bin Koeswoyo pada Rabu, 15 Maret 2023, pukul 19:30 WIB Di Magelang"", tulisnya di akun @official.sarikoeswoyo. Profil Nomo Koeswoyo Nomo Koeswoyo merupakan kelahiran 21 Januari 1938 di Tuban, Jawa Timur. Ia adalah seorang musisi legendaris yang tergabung dalam grup legenda Koes Bersaudara. Nomo mempunyai istri bernama Fatimah Francisca dan mempunyai tiga orang anak. Anak-anaknya bernama Chicha Koeswoyo, Hellen Koeswoyo, dan Reza Wicaksono Koeswoyo. Kariernya dalam dunia musik berawal dari grup bersama saudara-saudara kandungnya yaitu Jon Koeswoyo, Tonny Koeswoyo, Yon Koeswoyo, dan Yok Koeswoyo. Sebelumnya, band ini sudah berdiri dengan empat anggota. Namun, Nomo saat itu belum mahir bermain alat musik. Ia pun akhirnya belajar terlebih dahulu dan berhasil bergabung dengan grup ini secara perdana pada 1962. Band ini menjadi band legendaris dan sangat populer pada saat itu. Bahkan, di rezim Orde Lama Soekarno pada 1965, band ini sempat dipenjara. Hal tersebut dikarenakan dinilai terlalu kebarat-baratan dan saat itu sangat dilarang keras. Nomo pun sempat keluar dari grup karena masih kesulitan dari segi ekonominya dan bekerja menjadi pebisnis. Pada awal 1973, ia pun mendirikan grup No Koes yang dimana tidak ada saudara-saudaranya dan band ini juga cukup eksis dengan merilis album dengan genre pop, dangdut, hingga Jawa.","Musisi senior Koesnomo Koeswoyo atau akrab disapa Nomo Koeswoyo meninggal dunia. Musisi legendaris tanah air itu menghembuskan nafas terakhir di Magelang, Jawa Tengah Pukul 19.30 WIB pada Rabu (15/3/2023). Fakta Meninggalnya Nomo Koeswoyo Sempat Anfal dan Gula Darah Tinggi Sebelum Meninggal Nomo Koeswoyo disebut sempat mengalami anfal dan memiliki riwayat gula darah tinggi sebelum meninggal dunia. Nomo yang lahir pada 21 Januari 1938 mengembuskan napas terakhirnya dalam usia 85 tahun. Kepergian salah satu personel Koes Bersaudara itu menjadikan grup band legendaris Indonesia tersebut kini hanya tinggal memiliki satu personel, yakni Yok Koeswoyo. Ia adalah musikus Indonesia Grup Koes Bersaudara yang beranggotakan kakak beradik keluarga Koeswoyo. Rencananya, jenazah akan disemayamkan di rumah duka yang berada di Jakarta Selatan. Pihak keluarga juga sudah memastikan proses pemakaman akan dilangsungkan di TPU Jeruk Purut, Jakarta Selatan."
"6","Jokowi Tinjau Pasar Tanah Abang","Presiden Jokowi Tinjau Pasar Tanah Abang, Warga Berebut Salaman hingga Selfie","sindonews","Presiden Joko Widodo meninjau Pasar Tanah Abang , Jakarta Pusat, pada Kamis (4/5/2023) sore. Ribuan warga menyambut antuasis kedatangan Presiden Jokowi ke pusat grosir Blok A dan B Tanah Abang ini. Pantauan MNC Portal Indonesia, Jokowi didampingi Pj Gubernur DKI Jakarta tiba menggunakan mobil berpelat nomor RI 1. Jokowi disambut ribuan warga sekaligus pengunjung Pasar Tanah Abang saat tiba di Pintu Timur Blok A. Terlihat Jokowi mengenakan kemeja berwarna putih dan sepatu casual. Ribuan warga sekaligus pengunjung pun berebut salaman dan berswafoto dengan orang nomor satu di Indonesia. ""Pak Jokowi, Pak Jokowi, Pak Jokowi,"" ucap warga saling bersahutan. Jokowi yang dalam penjagaan ketat Paspampres terlihat menghampiri dan menyalami warga menunggu kehadirannya. Jokowi terlihat juga berswafoto dengan warga yang beruntung.Jokowi yang didampingi Heru Budi pun menyambangi kios pedagang di Blok A Pasar Tanah Abang. Jokowi berkeliling menyapa pengunjung dan penjual hingga ke Blok B Pasar Tanah Abang.Sesekali terlihat Jokowi bercengkrama dengan pedagang di pusat grosir terbesar se-Asia Tenggara itu. Terlihat pula Jokowi dan Paspampres membagikan kaus.Sesuai menyapa warga, Jokowi bersama rombongan meninggalkan Pasar Tanah Abang melalui Pintu Timur Blok B. Sebagai informasi, dalam kunjungan tersebut terlihat pula Kapolda Metro Jaya Irjen Pol Karyoto, Pangdam Jayakarta Mayjen TNI M Hasan, serta pejabat Pemprov DKI Jakarta.","Presiden Joko Widodo meninjau Pasar Tanah Abang , Jakarta Pusat, pada Kamis (4/5/2023) sore. Ribuan warga menyambut antuasis kedatangan Presiden Jokowi ke pusat grosir Blok A dan B Tanah Abang ini. Kunjungan Jokowi ke Tanah Abang untuk meninjau aktivitas di pasar Tanah Abang setelah momen Idulfitri. Hadir juga dalam peninjauan tersebut Kapolda Metro Jaya Irjen Karyoto, Kepala Dinas Perhubungan DKI Jakarta Syafrin Liputo, hingga Wali Kota Jakarta Pusat Dhany Sukma. Ada yang penjualannya melonjak hingga 80 persen, ada juga yang 50 persen. Menurut Jokowi, terjadinya kenaikan omzet pedagang sesuai dengan prediksi bahwa peredaran uang selama menjelang lebaran dan selama liburan lebaran naik sangat tinggi sekali. Tampak sesekali Jokowi menyalami dan mengajak selfie beberapa warga di lokasi. Dalam kunjungan itu, Jokowi turut membagikan kaos hitam kepada warga di Blok A Pasar Tanah Abang."
"7","Jokowi Tinjau Pasar Tanah Abang","Jokowi dan Heru Budi Tinjau Pasar Tanah Abang, Bagikan Kaos Hitam ke Pengunjung","merdeka","Presiden Joko Widodo (Jokowi) meninjau Blok A Pasar Tanah Abang, Jakarta Pusat, Kamis (4/5) sore. Jokowi juga didampingi Penjabat (Pj) Gubernur DKI Jakarta, Heru Budi Hartono. Kunjungan Jokowi ke Tanah Abang untuk meninjau aktivitas di pasar Tanah Abang setelah momen Idulfitri. Setibanya Jokowi dan Heru di Tanah Abang, pengunjung langsung menyambut dengan mengajak bersalaman ataupun berswafoto. Jokowi dan Heru juga nampak menyapa para pengunjung dan pedagang yang ada.""Pak Jokowi Presiden Terbaik!"", teriak salah seorang warga. Jokowi juga sesekali membagikan kaos berwarna hitam kepada pengunjung yang hadir. Ia juga datang mengecek ke beberapa toko di sana. Bahkan, Jokowi terlihat membeli baju koko berwarna putih.","Presiden Joko Widodo meninjau Pasar Tanah Abang , Jakarta Pusat, pada Kamis (4/5/2023) sore. Ribuan warga menyambut antuasis kedatangan Presiden Jokowi ke pusat grosir Blok A dan B Tanah Abang ini. Kunjungan Jokowi ke Tanah Abang untuk meninjau aktivitas di pasar Tanah Abang setelah momen Idulfitri. Hadir juga dalam peninjauan tersebut Kapolda Metro Jaya Irjen Karyoto, Kepala Dinas Perhubungan DKI Jakarta Syafrin Liputo, hingga Wali Kota Jakarta Pusat Dhany Sukma. Ada yang penjualannya melonjak hingga 80 persen, ada juga yang 50 persen. Menurut Jokowi, terjadinya kenaikan omzet pedagang sesuai dengan prediksi bahwa peredaran uang selama menjelang lebaran dan selama liburan lebaran naik sangat tinggi sekali. Tampak sesekali Jokowi menyalami dan mengajak selfie beberapa warga di lokasi. Dalam kunjungan itu, Jokowi turut membagikan kaos hitam kepada warga di Blok A Pasar Tanah Abang."
"8","Jokowi Tinjau Pasar Tanah Abang","Jokowi Bagi-bagi Kaos Saat Tinjau Pasar Tanah Abang, Warga: Presiden Terbaik!","suara","Presiden Joko Widodo (Jokowi) bersama penjabat (Pj) Gubernur DKI Jakarta, Heru Budi Hartono meninjau Blok A Pasar Tanah Abang, Kebon Kacang, Tanah Abang, Jakarta Pusat, pada Kamis (4/5/2023) sore. Pantauan Suara.com di lokasi, Jokowi tiba di Blok A Pasar Tanah Abang tiba sekitar pukul 15.15 WIB. Jokowi dan Heru masuk melalui pintu timur Blok A Pasar Tanah Abang. Begitu sampai di lokasi, Jokowi disambut meriah oleh warga yang sudah menanti kehadirannya. Warga meneriakan nama Jokowi sambil bertepuk tangan. ""Pak Jokowi, Pak Jokowi, presiden terbaik,"" ucap salah satu warga. Jokowi tampak mengenakan kemeja berwarna putih. Sementara Heru menggunakan kemeja berwarna cokelat. Tampak sesekali Jokowi menyalami dan mengajak selfie beberapa warga di lokasi. Dalam kunjungan itu, Jokowi turut membagikan kaos hitam kepada warga di Blok A Pasar Tanah Abang. Selain itu, Kepala Negara sempat membeli baju koko putih. Hadir juga dalam peninjauan tersebut Kapolda Metro Jaya Irjen Karyoto, Kepala Dinas Perhubungan DKI Jakarta Syafrin Liputo, hingga Wali Kota Jakarta Pusat Dhany Sukma.","Presiden Joko Widodo meninjau Pasar Tanah Abang , Jakarta Pusat, pada Kamis (4/5/2023) sore. Ribuan warga menyambut antuasis kedatangan Presiden Jokowi ke pusat grosir Blok A dan B Tanah Abang ini. Kunjungan Jokowi ke Tanah Abang untuk meninjau aktivitas di pasar Tanah Abang setelah momen Idulfitri. Hadir juga dalam peninjauan tersebut Kapolda Metro Jaya Irjen Karyoto, Kepala Dinas Perhubungan DKI Jakarta Syafrin Liputo, hingga Wali Kota Jakarta Pusat Dhany Sukma. Ada yang penjualannya melonjak hingga 80 persen, ada juga yang 50 persen. Menurut Jokowi, terjadinya kenaikan omzet pedagang sesuai dengan prediksi bahwa peredaran uang selama menjelang lebaran dan selama liburan lebaran naik sangat tinggi sekali. Tampak sesekali Jokowi menyalami dan mengajak selfie beberapa warga di lokasi. Dalam kunjungan itu, Jokowi turut membagikan kaos hitam kepada warga di Blok A Pasar Tanah Abang."
"9","Jokowi Tinjau Pasar Tanah Abang","Kunjungi Pasar Tanah Abang, Jokowi Sebut Penjualan Pedagang Naik Selama Lebaran","okezone","Presiden Joko Widodo (Jokowi) menyambangi Pasar Tanah Abang, Jakarta Pusat, Kamis (4/5/2023). Ia ingin menanyakan omzet penjualan para pedagang saat lebaran. ""Melihat dan menanyakan pada pedagang mengenai penjualannya selama Ramadhan sebelum lebaran apakah ada kenaikan, apakah ada penurunan,"" ujar Jokowi. Jokowi Diserbu Warga saat Tinjau Pasar Tanah Abang, Berebut Salaman hingga Swafoto Menurut Jokowi, semua pedagang menyampaikan terjadi kenaikan. Ada yang penjualannya melonjak hingga 80 persen, ada juga yang 50 persen. ""Tapi semuanya naik. Ini saya kira bagus,"" katanya. Menurut Jokowi, terjadinya kenaikan omzet pedagang sesuai dengan prediksi bahwa peredaran uang selama menjelang lebaran dan selama liburan lebaran naik sangat tinggi sekali. ""Perkiraan kita baru perkiraan mencapai Rp230 triliun,"" ujarnya.","Presiden Joko Widodo meninjau Pasar Tanah Abang , Jakarta Pusat, pada Kamis (4/5/2023) sore. Ribuan warga menyambut antuasis kedatangan Presiden Jokowi ke pusat grosir Blok A dan B Tanah Abang ini. Kunjungan Jokowi ke Tanah Abang untuk meninjau aktivitas di pasar Tanah Abang setelah momen Idulfitri. Hadir juga dalam peninjauan tersebut Kapolda Metro Jaya Irjen Karyoto, Kepala Dinas Perhubungan DKI Jakarta Syafrin Liputo, hingga Wali Kota Jakarta Pusat Dhany Sukma. Ada yang penjualannya melonjak hingga 80 persen, ada juga yang 50 persen. Menurut Jokowi, terjadinya kenaikan omzet pedagang sesuai dengan prediksi bahwa peredaran uang selama menjelang lebaran dan selama liburan lebaran naik sangat tinggi sekali. Tampak sesekali Jokowi menyalami dan mengajak selfie beberapa warga di lokasi. Dalam kunjungan itu, Jokowi turut membagikan kaos hitam kepada warga di Blok A Pasar Tanah Abang."
"10","Jokowi Tinjau Pasar Tanah Abang","Tinjau Pasar Tanah Abang, Jokowi Sapa Pedagang hingga Beli Baju Koko","kompas","Presiden Joko Widodo (Jokowi) mengunjungi Pasar Tanah Abang, Jakarta Pusat, pada Kamis (4/5/2023) sore. Dalam kunjungan kali ini, Presiden Jokowi meninjau kawasan Blok A Pasar Tanah Abang. Kepala Negara yang didampingi Penjabat (Pj) Gubernur DKI Jakarta, Heru Budi Hartono segera menghampiri kios-kios dan berbincang dengan pedagang. Tak lupa, Jokowi membagikan kaos kepada pedagang dan pengunjung Pasar Tanah Abang yang antusias menyambut kedatangannya. Setelahnya, Presiden Jokowi tampak membeli sebuah baju koko berwarna putih di Toko Ikhwan. Penjaga toko, Asalam mengatakan, Presiden Jokowi menanyakan harga baju koko yang hendak dibelinya. ""Harganya itu Rp 200.000. Tadi Presiden kasih (yang) Rp 300.000,"" kata Asalam. ""Saya bilang, 'Pak, ini kebanyakan'. 'Ah enggak apa-apa', kata Presiden,"" ujarnya melanjutkan. Asalam juga sempat bersalaman dengan Jokowi. Menurutnya, Presiden menyambut dengan ramah. Lebih lanjut, ia berharap ke depannya kondisi ekonomi Indonesia bisa jauh lebih baik. Sebab, hal tersebut menguntungkan bagi masyarakat dan pedagang. ""Setelah Lebaran ada peningkatan omzetnya. Pedagang bergembira jika ada yang masuk (pendapatan),"" kata Asalam ""Harapannya ekonomi Indonesia lebih baik lagi lah. Sebab, itu yang membuat masyarakat terutama kaum pedagang pendapatan lebih, kesejahteraan,"" ujarnya lagi.","Presiden Joko Widodo meninjau Pasar Tanah Abang , Jakarta Pusat, pada Kamis (4/5/2023) sore. Ribuan warga menyambut antuasis kedatangan Presiden Jokowi ke pusat grosir Blok A dan B Tanah Abang ini. Kunjungan Jokowi ke Tanah Abang untuk meninjau aktivitas di pasar Tanah Abang setelah momen Idulfitri. Hadir juga dalam peninjauan tersebut Kapolda Metro Jaya Irjen Karyoto, Kepala Dinas Perhubungan DKI Jakarta Syafrin Liputo, hingga Wali Kota Jakarta Pusat Dhany Sukma. Ada yang penjualannya melonjak hingga 80 persen, ada juga yang 50 persen. Menurut Jokowi, terjadinya kenaikan omzet pedagang sesuai dengan prediksi bahwa peredaran uang selama menjelang lebaran dan selama liburan lebaran naik sangat tinggi sekali. Tampak sesekali Jokowi menyalami dan mengajak selfie beberapa warga di lokasi. Dalam kunjungan itu, Jokowi turut membagikan kaos hitam kepada warga di Blok A Pasar Tanah Abang."
